"","tailnum","year_plane","type","manufacturer","model","engines","seats","speed","engine"
"68","N125UW",2009,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"69","N126UW",2009,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"70","N127UW",2010,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"71","N128UW",2010,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"72","N12900",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"73","N12921",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"74","N12922",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"75","N12924",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"76","N12957",1998,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"77","N12967",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"78","N12996",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"79","N13110",1994,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-jet"
"80","N13113",1995,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-jet"
"81","N13118",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"82","N13123",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"83","N13124",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"84","N13132",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"85","N13133",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"86","N13138",1999,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-jet"
"87","N13161",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"88","N13202",2006,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"89","N13248",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"90","N13538",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"91","N13550",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"92","N13553",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"93","N13566",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"94","N136DL",1991,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"95","N13716",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"96","N13718",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"97","N13750",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"98","N137DL",1991,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"99","N13903",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"100","N13908",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"101","N13913",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"102","N13914",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"103","N13949",1998,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"104","N13955",1998,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"105","N13956",1998,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"106","N13958",1998,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"107","N13964",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"108","N13965",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"109","N13968",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"110","N13969",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"111","N13970",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"112","N13975",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"113","N13978",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"114","N13979",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"115","N13988",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"116","N13989",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"117","N13992",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"118","N13994",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"119","N13995",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"120","N13997",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"121","N14102",1994,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-jet"
"122","N14105",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"123","N14106",1994,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-jet"
"124","N14107",1994,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-jet"
"125","N14115",1995,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-jet"
"126","N14116",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"127","N14117",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"128","N14118",1997,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-jet"
"129","N14120",1997,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-jet"
"130","N14121",1997,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-jet"
"131","N14125",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"132","N14143",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"133","N14148",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"134","N14153",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"135","N14158",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"136","N14162",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"137","N14168",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"138","N14171",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"139","N14173",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"140","N14174",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"141","N14177",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"142","N14179",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"143","N14180",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"144","N14186",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"145","N14188",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"146","N14198",2006,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"147","N14203",2006,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"148","N14204",2006,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"149","N14214",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"150","N14219",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"151","N14228",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"152","N14230",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"153","N14231",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"154","N14237",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"155","N14242",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"156","N14250",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"157","N143DA",1998,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"158","N14542",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"159","N14543",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"160","N14558",NA,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"161","N14562",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"162","N14568",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"163","N14570",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"164","N14573",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"165","N14629",1965,"Fixed wing multi engine","BOEING","737-524",2,149,NA,"Turbo-fan"
"166","N14704",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"167","N14731",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"168","N14902",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"169","N14904",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"170","N14905",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"171","N14907",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"172","N14916",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"173","N14920",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"174","N14923",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"175","N14950",1998,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"176","N14952",1998,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"177","N14953",1998,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"178","N14959",1998,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"179","N14960",1998,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"180","N14972",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"181","N14974",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"182","N14977",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"183","N14991",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"184","N14993",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"185","N14998",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"186","N1501P",1990,"Fixed wing multi engine","BOEING","767-3P6",2,290,NA,"Turbo-fan"
"187","N150UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"188","N151UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"189","N152DL",1990,"Fixed wing multi engine","BOEING","767-3P6",2,290,NA,"Turbo-fan"
"190","N152UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"191","N153DL",1990,"Fixed wing multi engine","BOEING","767-3P6",2,290,NA,"Turbo-fan"
"192","N153UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"193","N154DL",1991,"Fixed wing multi engine","BOEING","767-3P6",2,290,NA,"Turbo-fan"
"194","N154UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"195","N15555",NA,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"196","N15572",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"197","N15574",NA,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"198","N155DL",1991,"Fixed wing multi engine","BOEING","767-3P6",2,290,NA,"Turbo-fan"
"199","N155UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"200","N156DL",1991,"Fixed wing multi engine","BOEING","767-3P6",2,290,NA,"Turbo-fan"
"201","N156UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"202","N15710",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"203","N15712",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"204","N157UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"205","N15910",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"206","N15912",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"207","N15973",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"208","N15980",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"209","N15983",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"210","N15985",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"211","N15986",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"212","N1602",1999,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"213","N1603",1999,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"214","N1604R",1999,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"215","N1605",1999,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"216","N16065",1999,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"217","N1607B",2000,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"218","N1608",2000,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"219","N1609",2000,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"220","N1610D",2000,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"221","N16112",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"222","N1611B",2000,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"223","N1612T",2001,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"224","N1613B",2001,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"225","N16147",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"226","N16149",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"227","N16151",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"228","N16170",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"229","N16178",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"230","N16183",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"231","N16217",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"232","N16234",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"233","N16541",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"234","N16546",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"235","N16559",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"236","N16561",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"237","N16571",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"238","N16701",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"239","N16703",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"240","N16709",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"241","N16713",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"242","N16732",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"243","N168AT",2004,"Fixed wing multi engine","BOEING","737-76N",2,149,NA,"Turbo-fan"
"244","N16911",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"245","N16918",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"246","N16919",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"247","N16951",1998,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"248","N16954",1998,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"249","N16961",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"250","N16963",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"251","N16976",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"252","N16981",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"253","N16987",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"254","N16999",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"255","N169AT",2004,"Fixed wing multi engine","BOEING","737-76N",2,149,NA,"Turbo-fan"
"256","N169DZ",1998,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"257","N17104",1994,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-jet"
"258","N17105",1994,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-jet"
"259","N17108",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"260","N17115",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"261","N17122",1997,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-jet"
"262","N17126",1998,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-jet"
"263","N17128",1998,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-jet"
"264","N17133",1998,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-jet"
"265","N17138",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"266","N17139",2000,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-jet"
